research_category	feature_name	source_type	habitat	final_clade	final_clade_name	n_unique_MAG_all	mean_score_pct_all	prevalence_ge_50_pct_all	prevalence_ge_75_pct_all	n_unique_MAG_excluding_dual_copy	mean_score_pct_excluding_dual_copy	prevalence_ge_50_pct_excluding_dual_copy	prevalence_ge_75_pct_excluding_dual_copy	mean_score_delta_pct	prevalence_ge_50_delta_pct	prevalence_ge_75_delta_pct	exclusion_effect
Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	12	34.0686274509804	8.33333333333333	0	12	34.0686274509804	8.33333333333333	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	IS	Clade 4	IdrA-associated with DIRM-like synteny	20	37.7941176470588	5	0	20	37.7941176470588	5	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	AS	Clade 1	Canonical AioA-associated	1	17.6470588235294	0	0	0	NA	NA	NA	NA	NA	NA	cell becomes empty; original n=1 was descriptive only
Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	AS	Clade 2	Unknown/uncertain DMSOR	1	23.5294117647059	0	0	1	23.5294117647059	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	AS	Clade 3	IdrA-associated without complete DIRM-like synteny	1	17.6470588235294	0	0	0	NA	NA	NA	NA	NA	NA	cell becomes empty; original n=1 was descriptive only
Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	6	29.4117647058824	0	0	6	29.4117647058824	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	NS	Clade 1	Canonical AioA-associated	1	41.1764705882353	0	0	1	41.1764705882353	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Previous algorithm: distinct-gene set coverage	NS	Clade 2	Unknown/uncertain DMSOR	1	5.88235294117647	0	0	1	5.88235294117647	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	IS	Clade 1	Canonical AioA-associated	1	34.4827586206897	0	0	1	34.4827586206897	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	IS	Clade 2	Unknown/uncertain DMSOR	5	26.2068965517241	0	0	5	26.2068965517241	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	12	27.5862068965517	0	0	12	27.5862068965517	0	0	0	0	0	unchanged; dual-copy MAG absent from this cell
